date,product,region,quantity,unit_price
2026-05-01,Headphones,North,7,1000
2026-05-02,Smartwatch,West,8,350
2026-05-03,Laptop,West,8,1000
2026-05-04,Laptop,North,5,500
2026-05-05,Phone,North,4,750
2026-05-06,Laptop,East,4,180
2026-05-07,Headphones,East,4,350
2026-05-08,Headphones,West,7,750
2026-05-09,Phone,West,8,350
2026-05-10,Headphones,East,1,1000
2026-05-11,Laptop,South,4,180
2026-05-12,Headphones,East,4,1000
2026-05-13,Smartwatch,South,3,1000
2026-05-14,Smartwatch,South,6,1000
2026-05-15,Phone,South,7,1000
2026-05-16,Phone,North,8,350
2026-05-17,Phone,South,5,1000
2026-05-18,Tablet,East,5,350
2026-05-19,Tablet,North,4,250
2026-05-20,Phone,West,2,180
2026-05-21,Phone,West,7,750
2026-05-22,Tablet,South,2,350
2026-05-23,Phone,East,8,350
2026-05-24,Smartwatch,East,7,350
2026-05-25,Tablet,East,7,350
2026-05-26,Headphones,South,5,1000
2026-05-27,Tablet,West,4,350
2026-05-28,Headphones,East,7,350
2026-05-29,Phone,South,6,750
2026-05-30,Headphones,East,8,180
2026-05-31,Phone,South,1,120
2026-06-01,Tablet,East,8,180
2026-06-02,Headphones,West,7,250
2026-06-03,Tablet,South,6,250
2026-06-04,Headphones,East,7,250
2026-06-05,Tablet,East,1,750
2026-06-06,Laptop,East,4,750
2026-06-07,Laptop,West,1,180
2026-06-08,Headphones,West,3,180
2026-06-09,Headphones,West,2,500
2026-06-10,Phone,North,5,1000
2026-06-11,Tablet,West,2,1000
2026-06-12,Tablet,East,2,500
2026-06-13,Laptop,West,7,350
2026-06-14,Smartwatch,North,4,120
2026-06-15,Tablet,East,2,1000
2026-06-16,Laptop,North,7,750
2026-06-17,Headphones,South,6,120
2026-06-18,Headphones,North,2,350
2026-06-19,Smartwatch,West,3,350
2026-06-20,Headphones,South,5,500
2026-06-21,Tablet,North,7,1000
2026-06-22,Tablet,East,4,1000
2026-06-23,Smartwatch,South,8,180
2026-06-24,Headphones,East,7,250
2026-06-25,Phone,South,6,180
2026-06-26,Tablet,North,6,1000
2026-06-27,Smartwatch,North,5,500
2026-06-28,Laptop,West,1,500
2026-06-29,Headphones,South,4,750
2026-06-30,Headphones,South,4,750
2026-07-01,Laptop,East,8,1000
2026-07-02,Phone,South,5,180
2026-07-03,Headphones,North,5,750
2026-07-04,Tablet,North,6,350
2026-07-05,Tablet,North,8,250
2026-07-06,Tablet,West,4,120
2026-07-07,Phone,West,2,750
2026-07-08,Tablet,South,4,750
2026-07-09,Tablet,West,5,120
2026-07-10,Tablet,West,4,250
2026-07-11,Tablet,West,1,750
2026-07-12,Phone,North,1,120
2026-07-13,Smartwatch,East,8,120
2026-07-14,Headphones,South,5,350
2026-07-15,Tablet,East,6,180
2026-07-16,Headphones,East,8,120
2026-07-17,Phone,East,8,120
2026-07-18,Laptop,North,3,1000
2026-07-19,Smartwatch,South,4,120
2026-07-20,Headphones,South,4,1000
2026-07-21,Tablet,South,8,250
2026-07-22,Phone,East,1,500
2026-07-23,Phone,East,4,250
2026-07-24,Phone,East,4,180
2026-07-25,Smartwatch,South,1,350
2026-07-26,Phone,East,8,250
2026-07-27,Headphones,North,5,750
2026-07-28,Tablet,West,2,750
2026-07-29,Smartwatch,East,4,350
2026-07-30,Tablet,West,4,750
2026-07-31,Phone,East,3,120
2026-08-01,Headphones,North,5,500
2026-08-02,Headphones,North,2,350
2026-08-03,Headphones,South,5,500
2026-08-04,Headphones,East,2,500
2026-08-05,Laptop,North,6,500
2026-08-06,Tablet,East,2,180
2026-08-07,Headphones,West,1,1000
2026-08-08,Smartwatch,West,8,250
2026-08-09,Laptop,South,7,750
2026-08-10,Tablet,South,8,250
2026-08-11,Phone,East,6,750
2026-08-12,Tablet,South,6,350
2026-08-13,Headphones,East,7,1000
2026-08-14,Tablet,North,2,250
2026-08-15,Smartwatch,South,2,1000
2026-08-16,Headphones,South,1,750
2026-08-17,Smartwatch,North,1,180
2026-08-18,Laptop,South,8,750
2026-08-19,Tablet,West,4,250
2026-08-20,Laptop,South,8,750
2026-08-21,Phone,West,1,750
2026-08-22,Smartwatch,East,5,500
2026-08-23,Laptop,West,7,120
2026-08-24,Headphones,West,8,120
2026-08-25,Headphones,North,5,500
2026-08-26,Headphones,West,8,350
2026-08-27,Smartwatch,West,3,350
2026-08-28,Tablet,East,3,1000
2026-01-01,Laptop,North,7,250
2026-01-02,Smartwatch,North,5,750
2026-01-03,Headphones,West,8,1000
2026-01-04,Smartwatch,North,8,250
2026-01-05,Phone,North,7,350
2026-01-06,Phone,South,4,500
2026-01-07,Headphones,North,7,120
2026-01-08,Headphones,West,7,350
2026-01-09,Laptop,North,1,180
2026-01-10,Laptop,South,8,120
2026-01-11,Laptop,West,3,350
2026-01-12,Tablet,North,8,1000
2026-01-13,Tablet,East,7,750
2026-01-14,Smartwatch,South,7,250
2026-01-15,Phone,East,1,500
2026-01-16,Headphones,East,5,180
2026-01-17,Headphones,East,2,1000
2026-01-18,Laptop,North,3,750
2026-01-19,Tablet,East,1,250
2026-01-20,Phone,South,6,250
2026-01-21,Smartwatch,South,4,500
2026-01-22,Laptop,West,3,180
2026-01-23,Headphones,West,7,500
2026-01-24,Tablet,South,3,180
2026-01-25,Headphones,East,8,250
2026-01-26,Laptop,West,5,750
2026-01-27,Headphones,North,8,250
2026-01-28,Phone,North,5,350
2026-01-29,Laptop,South,7,1000
2026-01-30,Smartwatch,North,4,350
2026-01-31,Laptop,North,5,750
2026-02-01,Smartwatch,East,7,250
2026-02-02,Tablet,South,1,500
2026-02-03,Phone,North,4,500
2026-02-04,Phone,North,4,500
2026-02-05,Tablet,East,2,750
2026-02-06,Phone,North,8,120
2026-02-07,Headphones,North,2,250
2026-02-08,Smartwatch,West,3,180
2026-02-09,Phone,North,6,500
2026-02-10,Tablet,South,5,1000
2026-02-11,Headphones,East,6,1000
2026-02-12,Headphones,West,2,180
2026-02-13,Laptop,South,6,120
2026-02-14,Headphones,East,5,500
2026-02-15,Smartwatch,North,6,750
2026-02-16,Laptop,North,7,1000
2026-02-17,Smartwatch,East,4,350
2026-02-18,Laptop,West,6,500
2026-02-19,Headphones,North,8,750
2026-02-20,Laptop,East,2,180
2026-02-21,Laptop,East,5,350
2026-02-22,Headphones,West,4,500
2026-02-23,Smartwatch,South,8,250
2026-02-24,Headphones,East,3,350
2026-02-25,Tablet,East,7,250
2026-02-26,Phone,South,4,350
2026-02-27,Smartwatch,North,6,120
2026-02-28,Tablet,South,6,120
2026-03-01,Laptop,South,4,120
2026-03-02,Laptop,East,4,750
2026-03-03,Smartwatch,West,6,180
2026-03-04,Smartwatch,West,4,120
2026-03-05,Tablet,West,4,1000
2026-03-06,Tablet,East,3,1000
2026-03-07,Phone,North,3,180
2026-03-08,Phone,East,2,750
2026-03-09,Smartwatch,West,1,250
2026-03-10,Tablet,West,6,120
2026-03-11,Smartwatch,South,1,180
2026-03-12,Headphones,East,2,750
2026-03-13,Smartwatch,North,8,1000
2026-03-14,Smartwatch,West,2,350
2026-03-15,Headphones,North,1,750
2026-03-16,Headphones,South,1,120
2026-03-17,Headphones,East,7,750
2026-03-18,Tablet,East,8,120
2026-03-19,Tablet,West,3,120
2026-03-20,Headphones,North,6,350
2026-03-21,Smartwatch,East,7,120
2026-03-22,Phone,South,4,350
2026-03-23,Headphones,South,7,250
2026-03-24,Tablet,East,7,750
2026-03-25,Tablet,North,7,250
2026-03-26,Laptop,South,3,750
2026-03-27,Laptop,East,2,1000
2026-03-28,Phone,North,7,120
2026-03-29,Laptop,North,1,500
2026-03-30,Laptop,South,7,250
2026-03-31,Tablet,North,5,500
2026-04-01,Phone,West,2,500
2026-04-02,Tablet,East,8,180
2026-04-03,Smartwatch,North,6,120
2026-04-04,Smartwatch,South,4,1000
2026-04-05,Laptop,North,1,500
2026-04-06,Tablet,North,3,250
2026-04-07,Phone,West,6,120
2026-04-08,Laptop,West,7,120
2026-04-09,Headphones,West,2,750
2026-04-10,Phone,North,7,350
2026-04-11,Smartwatch,North,6,250
2026-04-12,Phone,West,2,120
2026-04-13,Tablet,East,1,750
2026-04-14,Headphones,South,8,750
2026-04-15,Phone,North,8,350
2026-04-16,Laptop,South,2,250
2026-04-17,Smartwatch,South,5,750
2026-04-18,Headphones,West,5,120
2026-04-19,Tablet,West,1,120
2026-04-20,Tablet,West,4,1000
2026-04-21,Laptop,East,5,250
2026-04-22,Phone,South,8,750
2026-04-23,Smartwatch,West,3,350
2026-04-24,Laptop,South,6,120
2026-04-25,Laptop,South,7,120
2026-04-26,Smartwatch,South,6,500
2026-04-27,Tablet,South,7,750
2026-04-28,Tablet,East,2,350
2026-04-29,Tablet,South,3,1000
2026-04-30,Phone,East,2,350
2026-05-01,Smartwatch,South,7,500
2026-05-02,Tablet,North,2,350
2026-05-03,Laptop,West,4,250
2026-05-04,Tablet,West,2,500
2026-05-05,Phone,West,6,750
2026-05-06,Phone,North,2,180
2026-05-07,Laptop,West,3,500
2026-05-08,Headphones,South,3,1000
2026-05-09,Tablet,North,8,750
2026-05-10,Headphones,East,3,350
2026-05-11,Tablet,North,8,750
2026-05-12,Tablet,East,1,250
2026-05-13,Laptop,East,8,350
2026-05-14,Laptop,North,6,1000
2026-05-15,Headphones,South,2,500
2026-05-16,Tablet,West,1,350
2026-05-17,Laptop,West,8,500
2026-05-18,Laptop,North,8,120
2026-05-19,Headphones,West,3,120
2026-05-20,Tablet,West,8,500
2026-05-21,Headphones,South,6,250
2026-05-22,Tablet,East,6,750
2026-05-23,Smartwatch,East,2,250
2026-05-24,Smartwatch,North,7,250
2026-05-25,Smartwatch,East,3,250
2026-05-26,Headphones,North,3,250
2026-05-27,Tablet,East,3,500
2026-05-28,Phone,North,7,750
2026-05-29,Smartwatch,South,2,750
2026-05-30,Tablet,North,6,120
2026-05-31,Headphones,North,3,180
2026-06-01,Phone,West,4,180
2026-06-02,Smartwatch,East,2,250
2026-06-03,Smartwatch,North,1,750
2026-06-04,Phone,South,3,500
2026-06-05,Headphones,West,3,180
2026-06-06,Phone,North,1,350
2026-06-07,Headphones,North,8,500
2026-06-08,Tablet,West,4,500
2026-06-09,Tablet,West,8,1000
2026-06-10,Headphones,North,8,350
2026-06-11,Smartwatch,West,7,180
2026-06-12,Laptop,North,3,1000
2026-06-13,Smartwatch,North,8,1000
2026-06-14,Tablet,East,2,750
2026-06-15,Tablet,West,2,1000
2026-06-16,Headphones,West,8,500
2026-06-17,Tablet,South,2,180
2026-06-18,Headphones,East,1,350
2026-06-19,Laptop,South,6,180
2026-06-20,Tablet,,6,180
2026-06-21,Phone,North,2,1000
2026-06-22,Headphones,North,3,120
2026-06-23,Headphones,South,3,1000
2026-06-24,Tablet,East,1,120
2026-06-25,Smartwatch,West,4,1000
2026-06-26,Phone,North,7,120
2026-06-27,Phone,East,5,120
2026-06-28,Laptop,South,7,750
2026-06-29,Smartwatch,South,2,1000
2026-06-30,Phone,West,1,750
2026-07-01,Smartwatch,East,5,350
2026-07-02,Phone,South,6,180
2026-07-03,Laptop,North,2,500
2026-07-04,Laptop,South,1,350
2026-07-05,Laptop,North,7,250
2026-07-06,Tablet,East,6,1000
2026-07-07,Smartwatch,East,4,750
2026-07-08,Tablet,East,6,180
2026-07-09,Headphones,West,6,1000
2026-07-10,Phone,West,8,750
2026-07-11,Laptop,South,2,750
2026-07-12,Phone,East,5,180
2026-07-13,Smartwatch,North,1,250
2026-07-14,Tablet,South,7,1000
2026-07-15,Tablet,West,1,1000
2026-07-16,Tablet,East,6,1000
2026-07-17,Headphones,North,5,120
2026-07-18,Headphones,South,7,750
2026-07-19,Headphones,South,6,180
2026-07-20,Laptop,North,6,1000
2026-07-21,Smartwatch,South,7,120
2026-07-22,Tablet,North,3,500
2026-07-23,Tablet,North,2,120
2026-07-24,Phone,South,5,350
2026-07-25,Laptop,South,8,250
2026-07-26,Tablet,South,6,500
2026-07-27,Tablet,South,1,120
2026-07-28,Smartwatch,West,3,120
2026-07-29,Laptop,West,8,120
2026-07-30,Tablet,North,4,1000
2026-07-31,Smartwatch,East,7,500
2026-08-01,Tablet,South,3,750
2026-08-02,Smartwatch,East,6,350
2026-08-03,Headphones,North,3,500
2026-08-04,Phone,North,6,750
2026-08-05,Headphones,West,2,120
2026-08-06,Tablet,East,7,500
2026-08-07,Phone,South,5,750
2026-08-08,Phone,South,5,750
2026-08-09,Headphones,East,2,180
2026-08-10,Laptop,South,3,750
2026-08-11,Laptop,North,6,750
2026-08-12,Phone,West,5,250
2026-08-13,Laptop,West,6,500
2026-08-14,Phone,West,4,1000
2026-08-15,Smartwatch,North,8,120
2026-08-16,Smartwatch,West,6,350
2026-08-17,Headphones,North,2,120
2026-08-18,Headphones,South,8,500
2026-08-19,Laptop,North,2,180
2026-08-20,Phone,North,8,350
2026-08-21,Headphones,West,3,1000
2026-08-22,Smartwatch,East,1,1000
2026-08-23,Phone,West,3,250
2026-08-24,Tablet,West,6,750
2026-08-25,Tablet,East,5,1000
2026-08-26,Phone,North,4,750
2026-08-27,Smartwatch,East,5,500
2026-08-28,Phone,West,3,500
2026-01-01,Laptop,East,6,1000
2026-01-02,Phone,North,2,120
2026-01-03,Headphones,East,7,500
2026-01-04,Headphones,North,5,750
2026-01-05,Tablet,South,4,1000
2026-01-06,Phone,East,8,120
2026-01-07,Headphones,South,8,350
2026-01-08,Tablet,West,4,250
2026-01-09,Headphones,North,6,750
2026-01-10,Smartwatch,North,3,1000
2026-01-11,Headphones,West,2,250
2026-01-12,Phone,South,2,250
2026-01-13,Tablet,East,3,120
2026-01-14,Phone,South,7,1000
2026-01-15,Smartwatch,North,3,1000
2026-01-16,Headphones,West,6,180
2026-01-17,Headphones,North,8,350
2026-01-18,Smartwatch,South,1,120
2026-01-19,Smartwatch,West,8,180
2026-01-20,Tablet,East,6,120
2026-01-21,Tablet,South,8,500
2026-01-22,Headphones,East,1,1000
2026-01-23,Headphones,North,3,250
2026-01-24,Laptop,South,6,120
2026-01-25,Laptop,North,4,250
2026-01-26,Smartwatch,South,7,500
2026-01-27,Phone,East,5,1000
2026-01-28,Tablet,North,2,350
2026-01-29,Phone,West,6,1000
2026-01-30,Laptop,East,7,500
2026-01-31,Headphones,North,1,180
2026-02-01,Tablet,West,8,180
2026-02-02,Smartwatch,South,6,180
2026-02-03,Smartwatch,North,5,500
2026-02-04,Headphones,North,8,750
2026-02-05,Laptop,North,1,250
2026-02-06,Laptop,North,7,500
2026-02-07,Laptop,West,8,250
2026-02-08,Phone,South,8,180
2026-02-09,Phone,East,4,120
2026-02-10,Headphones,North,1,350
2026-02-11,Headphones,West,3,350
2026-02-12,Phone,East,8,1000
2026-02-13,Headphones,North,4,500
2026-02-14,Headphones,West,7,250
2026-02-15,Tablet,North,6,500
2026-02-16,Tablet,West,8,180
2026-02-17,Tablet,North,5,180
2026-02-18,Tablet,South,4,750
2026-02-19,Tablet,North,8,250
2026-02-20,Headphones,South,2,500
2026-02-21,Tablet,West,6,1000
2026-02-22,Tablet,East,1,250
2026-02-23,Headphones,North,8,750
2026-02-24,Smartwatch,North,4,180
2026-02-25,Smartwatch,East,5,180
2026-02-26,Smartwatch,East,4,180
2026-02-27,Laptop,West,4,750
2026-02-28,Headphones,North,2,350
2026-03-01,Laptop,West,2,750
2026-03-02,Headphones,South,3,350
2026-03-03,Tablet,North,4,1000
2026-03-04,Laptop,East,5,750
2026-03-05,Phone,East,4,500
2026-03-06,Laptop,West,7,1000
2026-03-07,Phone,South,7,1000
2026-03-08,Tablet,East,5,120
2026-03-09,Headphones,North,2,250
2026-03-10,Tablet,South,8,180
2026-03-11,Tablet,East,4,1000
2026-03-12,Tablet,South,3,750
2026-03-13,Tablet,North,3,120
2026-03-14,Headphones,South,4,180
2026-03-15,Laptop,South,6,120
2026-03-16,Tablet,South,3,180
2026-03-17,Headphones,North,4,120
2026-03-18,Tablet,North,4,350
2026-03-19,Tablet,East,5,500
2026-03-20,Laptop,West,6,750
2026-03-21,Phone,North,2,350
2026-03-22,Laptop,North,7,750
2026-03-23,Phone,West,5,250
2026-03-24,Headphones,West,3,350
2026-03-25,Smartwatch,South,6,350
2026-03-26,Smartwatch,West,4,1000
2026-03-27,Smartwatch,South,2,500
2026-03-28,Laptop,East,6,120
2026-03-29,Phone,West,4,500
2026-03-30,Laptop,South,6,1000
2026-03-31,Laptop,South,4,750
2026-04-01,Headphones,East,8,1000
2026-04-02,Headphones,South,3,500
2026-04-03,Tablet,South,1,500
2026-04-04,Laptop,North,1,350
2026-04-05,Laptop,East,4,500
2026-04-06,Smartwatch,East,7,250
2026-04-07,Laptop,South,1,120
2026-04-08,Phone,West,5,350
2026-04-09,Headphones,South,7,250
2026-04-10,Smartwatch,East,7,350
2026-04-11,Laptop,North,3,750
2026-04-12,Smartwatch,South,3,500
2026-04-13,Laptop,West,3,750
2026-04-14,Smartwatch,South,1,250
2026-04-15,Phone,South,7,500
2026-04-16,Phone,North,4,350
2026-04-17,Laptop,East,5,180
2026-04-18,Phone,East,7,500
2026-04-19,Smartwatch,East,4,120
2026-04-20,Phone,East,1,350
2026-04-21,Phone,South,1,350
2026-04-22,Phone,East,4,1000
2026-04-23,Smartwatch,North,5,180
2026-04-24,Phone,North,6,180
2026-04-25,Tablet,North,4,350
2026-04-26,Headphones,West,1,500
2026-04-27,Headphones,North,8,120
2026-04-28,Headphones,South,6,750
2026-04-29,Phone,South,3,250
2026-04-30,Tablet,West,8,180
2026-05-01,Laptop,South,3,1000
2026-05-02,Headphones,West,7,350
2026-05-03,Tablet,West,4,250
2026-05-04,Laptop,North,2,350
2026-05-05,Headphones,North,4,120
2026-05-06,Phone,East,1,1000
2026-05-07,Tablet,West,4,350
2026-05-08,Phone,West,5,120
2026-05-09,Phone,South,2,750
2026-05-10,Smartwatch,West,4,350
2026-05-11,Headphones,North,6,1000
2026-05-12,Tablet,North,8,500
2026-05-13,Headphones,South,5,250
2026-05-14,Tablet,South,2,1000
2026-05-15,Headphones,North,4,250
2026-05-16,Phone,West,1,500
2026-05-17,Tablet,South,1,250
2026-05-18,Phone,North,3,180
2026-05-19,Headphones,West,7,500
2026-05-20,Headphones,South,6,250
2026-05-21,Phone,North,8,180
2026-05-22,Phone,South,3,750
2026-05-23,Laptop,East,1,500
2026-05-24,Headphones,East,1,1000
2026-05-25,Laptop,West,3,1000
2026-05-26,Smartwatch,West,3,120
2026-05-27,Smartwatch,East,8,250
2026-05-28,Laptop,South,8,750
2026-05-29,Laptop,South,1,500
2026-05-30,Smartwatch,North,1,500
2026-05-31,Phone,South,5,120
2026-06-01,Phone,West,2,120
2026-06-02,Tablet,North,4,500
2026-06-03,Laptop,South,5,1000
2026-06-04,Smartwatch,South,6,350
2026-06-05,Tablet,West,4,750
2026-06-06,Laptop,East,2,750
2026-06-07,Smartwatch,South,7,350
2026-06-08,Phone,East,8,120
2026-06-09,Tablet,South,2,350
2026-06-10,Phone,East,2,500
2026-06-11,Tablet,South,4,1000
2026-06-12,Smartwatch,North,1,120
2026-06-13,Laptop,North,1,180
2026-06-14,Headphones,West,4,500
2026-06-15,Smartwatch,West,2,250
2026-06-16,Smartwatch,South,4,500
2026-06-17,Laptop,West,6,350
2026-06-18,Headphones,East,6,120
2026-06-19,Tablet,East,4,1000
2026-06-20,Laptop,North,7,1000
2026-06-21,Headphones,South,5,1000
2026-06-22,Headphones,South,4,250
2026-06-23,Laptop,South,3,750
2026-06-24,Laptop,West,5,1000
2026-06-25,Headphones,West,2,250
2026-06-26,Tablet,South,3,750
2026-06-27,Laptop,East,6,120
2026-06-28,Tablet,North,5,350
2026-06-29,Phone,East,2,180
2026-06-30,Laptop,South,7,350
2026-07-01,Smartwatch,North,1,120
2026-07-02,Headphones,North,2,500
2026-07-03,Headphones,South,1,250
2026-07-04,Smartwatch,West,2,750
2026-07-05,Phone,South,3,750
2026-07-06,Tablet,North,3,250
2026-07-07,Phone,East,8,180
2026-07-08,Tablet,South,7,250
2026-07-09,Tablet,East,8,1000
2026-07-10,Smartwatch,South,5,180
2026-07-11,Phone,East,4,350
2026-07-12,Tablet,South,5,120
2026-07-13,Headphones,North,7,1000
2026-07-14,Tablet,West,6,350
2026-07-15,Headphones,West,6,500
2026-07-16,Tablet,South,6,180
2026-07-17,Smartwatch,South,5,750
2026-07-18,Tablet,South,4,250
2026-07-19,Smartwatch,East,7,250
2026-07-20,Smartwatch,West,4,500
2026-07-21,Phone,South,1,750
2026-07-22,Laptop,North,8,1000
2026-07-23,Phone,South,7,750
2026-07-24,Phone,North,5,180
2026-07-25,Laptop,South,7,1000
2026-07-26,Smartwatch,South,8,500
2026-07-27,Smartwatch,South,7,500
2026-07-28,Smartwatch,North,1,1000
2026-07-29,Tablet,West,2,120
2026-07-30,Smartwatch,East,3,750
2026-07-31,Headphones,North,7,1000
2026-08-01,Tablet,East,2,120
2026-08-02,Headphones,West,4,500
2026-08-03,Smartwatch,South,6,350
2026-08-04,Headphones,East,3,250
2026-08-05,Laptop,South,2,250
2026-08-06,Tablet,West,2,1000
2026-08-07,Phone,South,5,250
2026-08-08,Laptop,South,8,250
2026-08-09,Tablet,South,8,750
2026-08-10,Laptop,East,2,250
2026-08-11,Laptop,North,1,1000
2026-08-12,Smartwatch,West,3,750
2026-08-13,Tablet,West,3,500
2026-08-14,Headphones,West,7,350
2026-08-15,Headphones,South,3,180
2026-08-16,Headphones,West,1,750
2026-08-17,Phone,East,7,350
2026-08-18,Smartwatch,East,4,250
2026-08-19,Tablet,West,2,1000
2026-08-20,Laptop,,6,180
2026-08-21,Smartwatch,South,5,750
2026-08-22,Smartwatch,South,6,500
2026-08-23,Tablet,East,7,500
2026-08-24,Smartwatch,South,6,1000
2026-08-25,Smartwatch,North,3,1000
2026-08-26,Tablet,West,2,750
2026-08-27,Laptop,North,2,180
2026-08-28,Smartwatch,West,3,250
2026-01-01,Smartwatch,West,7,350
2026-01-02,Headphones,West,7,350
2026-01-03,Headphones,West,3,500
2026-01-04,Tablet,West,5,180
2026-01-05,Tablet,East,8,500
2026-01-06,Phone,West,1,350
2026-01-07,Headphones,South,7,500
2026-01-08,Headphones,South,8,350
2026-01-09,Phone,East,3,120
2026-01-10,Phone,North,5,120
2026-01-11,Smartwatch,South,5,180
2026-01-12,Smartwatch,East,8,500
2026-01-13,Smartwatch,North,2,250
2026-01-14,Smartwatch,South,1,1000
2026-01-15,Phone,East,4,350
2026-01-16,Headphones,East,5,1000
2026-01-17,Headphones,East,5,250
2026-01-18,Phone,West,2,1000
2026-01-19,Phone,South,6,1000
2026-01-20,Phone,West,3,1000
2026-01-21,Smartwatch,North,1,500
2026-01-22,Tablet,West,5,500
2026-01-23,Smartwatch,North,5,250
2026-01-24,Laptop,South,2,180
2026-01-25,Phone,West,5,1000
2026-01-26,Phone,North,4,180
2026-01-27,Smartwatch,West,7,350
2026-01-28,Headphones,South,5,750
2026-01-29,Headphones,East,8,120
2026-01-30,Headphones,North,5,750
2026-01-31,Laptop,East,8,250
2026-02-01,Laptop,North,8,750
2026-02-02,Phone,South,7,180
2026-02-03,Tablet,North,8,250
2026-02-04,Smartwatch,West,6,500
2026-02-05,Laptop,North,8,1000
2026-02-06,Laptop,South,1,120
2026-02-07,Headphones,West,2,1000
2026-02-08,Phone,South,8,120
2026-02-09,Phone,North,3,750
2026-02-10,Tablet,North,5,120
