species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Biscoe,45.1,16.5,177.8,3457.3,male
Gentoo,Biscoe,42.2,15.6,213.0,4676.4,male
Gentoo,Torgersen,48.5,16.1,215.8,5376.7,female
Gentoo,Biscoe,45.2,15.5,205.2,5078.4,male
Adelie,Dream,42.1,18.6,193.8,3114.9,female
Chinstrap,Torgersen,45.6,18.7,196.2,4059.6,male
Adelie,Torgersen,39.2,18.9,174.9,3257.5,male
Chinstrap,Biscoe,45.9,18.8,190.8,4067.5,male
Chinstrap,Biscoe,46.5,17.5,192.2,3184.1,male
Adelie,Dream,41.4,17.3,184.8,3278.3,male
Adelie,Torgersen,43.6,18.4,197.2,3355.0,female
Chinstrap,Dream,55.2,19.2,204.8,3482.8,female
Chinstrap,Biscoe,49.4,17.2,208.3,4841.2,female
Gentoo,Torgersen,51.5,16.1,221.1,5002.2,male
Adelie,Biscoe,43.1,17.6,181.6,3605.3,male
Adelie,Torgersen,36.8,20.7,192.2,4063.0,female
Adelie,Biscoe,29.2,17.1,188.8,4129.0,female
Chinstrap,Biscoe,48.3,17.9,186.1,4131.0,female
Adelie,Torgersen,34.5,18.0,184.6,3885.7,female
Chinstrap,Torgersen,49.1,18.3,191.6,4194.4,male
Chinstrap,Dream,51.5,18.0,197.7,3595.6,female
Adelie,Dream,39.2,17.2,183.9,3785.3,male
Adelie,Biscoe,34.1,16.4,172.5,3803.0,male
Gentoo,Dream,47.9,14.8,227.7,5099.6,female
Adelie,Biscoe,40.3,19.2,188.4,3278.0,female
Adelie,Biscoe,38.1,18.7,202.2,3375.3,female
Chinstrap,Biscoe,53.6,15.1,192.4,3835.0,male
Chinstrap,Biscoe,44.5,20.4,210.7,4655.2,female
Chinstrap,Torgersen,49.3,17.0,197.1,3547.9,male
Chinstrap,Dream,44.3,19.9,198.7,4195.7,female
Adelie,Dream,39.1,19.7,183.6,3973.3,male
Adelie,Dream,38.8,20.0,195.9,3429.2,female
Chinstrap,Biscoe,48.6,19.9,193.4,4117.0,female
Gentoo,Dream,49.2,15.1,197.2,5194.6,female
Chinstrap,Torgersen,49.6,17.4,194.9,3751.4,male
Chinstrap,Torgersen,46.9,17.3,192.8,4179.4,female
Adelie,Dream,37.6,18.4,180.3,4096.5,female
Gentoo,Torgersen,48.7,16.1,219.4,5118.8,male
Adelie,Biscoe,41.9,18.8,187.8,3173.1,female
Adelie,Torgersen,32.9,18.6,190.9,4319.1,male
Adelie,Biscoe,37.9,19.5,180.9,4286.1,male
Chinstrap,Biscoe,49.9,18.8,192.6,4820.1,female
Chinstrap,Biscoe,41.6,20.3,190.2,3733.3,female
Gentoo,Dream,48.4,15.0,202.4,5146.0,male
Chinstrap,Torgersen,50.6,17.4,206.3,3960.9,female
Adelie,Torgersen,34.8,19.7,184.1,3821.9,female
Adelie,Dream,35.9,16.6,188.7,3811.9,female
Adelie,Biscoe,39.7,18.9,180.6,3275.3,female
Adelie,Biscoe,36.6,18.6,187.7,3561.2,male
Chinstrap,Torgersen,50.3,18.2,188.0,4136.4,male
Gentoo,Torgersen,45.3,14.0,213.8,6477.3,female
Chinstrap,Dream,51.5,17.7,189.1,3559.2,male
Adelie,Dream,37.2,17.1,174.2,4370.8,male
Adelie,Biscoe,40.0,18.3,183.3,3476.3,male
Adelie,Torgersen,40.6,18.2,192.8,3228.6,female
Gentoo,Biscoe,46.9,14.3,214.3,5242.6,male
Adelie,Dream,35.3,19.3,193.8,2827.8,female
Adelie,Dream,42.4,17.8,207.2,4075.7,female
Adelie,Biscoe,35.2,16.2,182.0,3223.9,female
Chinstrap,Dream,48.2,17.9,200.3,3640.2,female
Adelie,Torgersen,39.1,19.9,191.9,3612.9,female
Gentoo,Torgersen,45.7,14.1,210.2,5352.0,female
Chinstrap,Torgersen,48.2,18.8,190.1,4056.9,male
Chinstrap,Torgersen,53.1,18.2,190.2,3774.1,female
Chinstrap,Dream,50.1,16.9,202.9,3942.9,female
Adelie,Torgersen,34.6,18.0,194.1,3766.7,male
Chinstrap,Biscoe,52.3,18.5,181.9,4602.2,female
Adelie,Dream,43.9,18.0,192.1,3398.9,female
Chinstrap,Torgersen,47.1,16.2,198.7,4680.5,female
Chinstrap,Dream,47.1,19.5,203.3,3439.9,female
Gentoo,Biscoe,47.6,15.9,210.0,4983.5,male
Adelie,Dream,35.5,19.0,188.7,4138.7,female
Adelie,Dream,41.8,19.0,185.1,3343.2,male
Gentoo,Dream,47.0,16.5,225.1,4358.5,female
Chinstrap,Dream,52.9,17.9,187.3,4404.4,male
Adelie,Dream,33.3,16.0,187.2,4277.0,female
Gentoo,Torgersen,46.5,13.0,218.2,5408.1,male
Chinstrap,Torgersen,42.6,17.8,199.9,4014.8,male
Adelie,Torgersen,42.7,18.5,186.8,4274.1,female
Adelie,Dream,35.5,17.2,193.2,4370.5,male
Adelie,Biscoe,44.4,18.2,187.7,3172.0,female
Gentoo,Biscoe,50.6,13.5,211.9,5226.3,female
Adelie,Dream,35.7,17.1,182.3,3339.4,male
Adelie,Biscoe,39.7,17.8,182.0,3599.6,female
Adelie,Biscoe,40.2,17.7,181.1,3224.6,female
Adelie,Torgersen,40.3,19.6,178.6,3668.7,male
Adelie,Dream,42.9,18.7,202.8,3670.1,male
Gentoo,Torgersen,44.7,15.9,219.8,4892.7,female
Chinstrap,Dream,49.2,18.6,196.2,3889.8,female
Gentoo,Torgersen,46.4,14.1,208.9,4822.6,male
Chinstrap,Biscoe,44.1,15.6,199.4,4757.7,male
Adelie,Dream,43.8,16.7,191.4,3981.6,male
Adelie,Torgersen,37.9,18.8,199.4,3312.8,male
Gentoo,Torgersen,43.4,15.3,218.9,5004.6,male
Adelie,Biscoe,39.7,16.8,181.1,3370.3,male
Adelie,Biscoe,40.4,18.1,196.6,3501.5,female
Gentoo,Biscoe,48.6,15.1,215.5,4884.2,female
Gentoo,Torgersen,50.7,15.6,207.4,5697.9,female
Gentoo,Biscoe,50.7,13.6,215.1,4522.5,female
Adelie,Torgersen,39.6,18.2,198.4,2952.8,female
Adelie,Dream,37.4,18.1,193.0,3004.0,male
Chinstrap,Torgersen,48.5,18.1,195.7,4157.1,male
Chinstrap,Torgersen,49.5,16.4,189.5,3811.7,male
Adelie,Biscoe,42.6,18.3,197.3,4025.8,male
Gentoo,Dream,45.8,12.8,211.1,4814.3,female
Adelie,Biscoe,37.8,19.9,197.0,3853.8,female
Chinstrap,Torgersen,52.9,17.7,205.3,3590.2,female
Adelie,Torgersen,41.8,15.4,190.6,3999.0,male
Adelie,Dream,40.1,16.2,192.6,3015.8,male
Adelie,Torgersen,44.7,16.9,189.7,3176.6,male
Adelie,Dream,39.6,18.9,197.7,3357.0,male
Gentoo,Torgersen,48.5,14.8,206.8,4574.0,female
Gentoo,Torgersen,45.5,15.9,225.6,5797.0,female
Gentoo,Biscoe,48.6,16.1,218.5,4349.3,male
Chinstrap,Torgersen,46.1,16.6,189.7,3730.9,male
Gentoo,Dream,45.6,11.8,215.2,4330.1,female
Adelie,Biscoe,38.1,18.7,202.8,3574.4,female
Adelie,Dream,39.6,18.6,194.0,4040.4,female
Chinstrap,Dream,50.4,19.6,200.3,3961.5,male
Chinstrap,Torgersen,54.9,18.2,190.8,3887.7,female
Chinstrap,Biscoe,51.3,18.1,195.9,3697.5,male
Chinstrap,Torgersen,51.5,16.5,186.6,2911.6,male
Gentoo,Torgersen,45.2,13.4,210.4,5123.7,female
Gentoo,Biscoe,48.8,14.5,206.8,5463.6,female
Chinstrap,Torgersen,48.4,18.0,202.1,3280.9,male
Adelie,Biscoe,39.5,16.8,168.4,3786.5,male
Chinstrap,Biscoe,51.8,19.8,205.0,3529.3,female
Gentoo,Dream,42.4,14.5,205.6,4945.4,male
Gentoo,Dream,40.8,16.6,220.0,5735.6,male
Gentoo,Dream,46.5,13.4,213.0,4709.9,female
Chinstrap,Dream,52.1,18.1,185.1,4120.5,female
Gentoo,Biscoe,49.0,15.6,200.9,5725.3,male
Chinstrap,Torgersen,49.4,18.6,198.4,2852.1,male
Adelie,Torgersen,36.0,16.5,191.8,3441.7,male
Gentoo,Dream,44.5,15.2,213.1,4922.8,male
Chinstrap,Biscoe,48.7,19.2,195.8,4276.8,female
Chinstrap,Dream,50.8,16.0,188.7,4317.5,female
Chinstrap,Dream,45.2,18.7,191.9,3350.6,male
Chinstrap,Torgersen,52.3,18.8,187.3,4816.1,female
Chinstrap,Torgersen,47.9,17.3,202.0,3932.0,female
Adelie,Biscoe,40.2,17.4,176.6,3960.6,female
Chinstrap,Torgersen,45.5,16.8,199.4,3718.9,female
Gentoo,Dream,48.5,16.7,204.1,4841.8,male
Gentoo,Dream,44.8,14.7,217.4,5272.6,female
Gentoo,Biscoe,40.5,15.3,215.2,4641.9,female
Gentoo,Dream,48.4,15.9,213.9,4446.9,female
Chinstrap,Dream,37.1,20.4,193.7,3468.0,male
Gentoo,Biscoe,47.9,15.0,214.5,3150.0,female
Gentoo,Torgersen,40.6,15.2,229.4,5168.2,male
Adelie,Torgersen,42.6,19.0,182.5,4429.2,male
Adelie,Dream,36.1,18.5,175.9,3388.3,male
Chinstrap,Biscoe,46.1,18.8,194.7,4338.7,male
Gentoo,Torgersen,47.7,14.0,214.2,5384.7,male
Gentoo,Torgersen,47.2,14.7,214.2,3974.1,female
Gentoo,Dream,45.8,15.3,231.2,5267.0,female
Gentoo,Torgersen,48.6,12.4,208.5,4552.8,female
Gentoo,Biscoe,48.0,16.7,203.9,5221.8,female
Gentoo,Biscoe,49.1,14.1,231.9,5682.3,female
Chinstrap,Dream,49.9,16.5,195.7,4173.5,female
Adelie,Dream,42.8,18.2,174.4,3177.2,male
Gentoo,Dream,49.3,13.2,206.1,5367.0,female
Chinstrap,Biscoe,52.0,18.1,180.2,3106.4,female
Chinstrap,Torgersen,47.8,17.8,179.2,3934.8,male
Adelie,Biscoe,43.6,18.1,205.0,4601.4,male
Adelie,Torgersen,39.4,18.2,188.9,3334.4,female
Gentoo,Biscoe,49.5,14.5,216.8,4229.7,female
Gentoo,Dream,46.0,16.5,205.1,5008.9,female
Adelie,Biscoe,39.5,18.0,181.4,2951.7,female
Chinstrap,Torgersen,47.4,19.5,210.7,3500.7,male
Adelie,Biscoe,36.4,19.2,178.9,3982.3,male
Adelie,Dream,40.7,17.8,192.9,3160.7,male
Chinstrap,Torgersen,48.7,18.4,208.3,3623.0,male
Chinstrap,Biscoe,51.0,16.6,193.0,4243.5,female
Chinstrap,Dream,47.4,16.5,207.5,3198.8,male
Gentoo,Biscoe,46.0,15.9,226.9,5939.8,female
Chinstrap,Torgersen,51.3,15.8,190.2,3575.4,female
Gentoo,Biscoe,46.3,15.4,203.5,4704.4,male
Gentoo,Dream,46.6,15.4,207.1,5479.1,female
Gentoo,Biscoe,47.9,13.7,229.4,5474.5,female
Adelie,Dream,33.4,16.8,197.3,3298.6,male
Gentoo,Dream,47.7,15.7,222.2,5704.5,female
Gentoo,Dream,44.0,15.8,218.4,5121.6,male
Chinstrap,Biscoe,46.7,19.0,202.1,3964.0,female
Chinstrap,Torgersen,48.4,18.0,219.8,4069.2,male
Chinstrap,Torgersen,48.6,20.1,178.7,4292.9,female
Gentoo,Biscoe,47.0,15.3,218.5,5300.9,female
Adelie,Biscoe,41.8,18.3,187.5,3144.8,female
Gentoo,Biscoe,51.1,14.1,222.9,5234.6,male
Gentoo,Biscoe,51.3,14.5,210.2,5339.3,female
Chinstrap,Dream,51.1,18.0,202.0,3842.4,female
Adelie,Torgersen,39.5,17.7,192.9,2934.1,female
Chinstrap,Torgersen,51.1,18.6,201.3,3762.1,female
Chinstrap,Biscoe,49.1,17.4,193.2,4094.6,male
Chinstrap,Biscoe,46.6,18.9,202.3,2713.3,male
Chinstrap,Torgersen,49.5,17.3,197.6,3575.4,female
Chinstrap,Biscoe,50.3,15.0,203.1,3528.7,female
Gentoo,Torgersen,44.4,15.3,221.0,4489.2,female
Chinstrap,Biscoe,46.6,19.7,199.7,4246.1,female
Chinstrap,Dream,48.7,19.2,199.6,4079.8,female
Chinstrap,Biscoe,48.9,18.6,187.2,3906.0,female
Gentoo,Dream,43.4,13.5,226.1,4710.0,female
Adelie,Biscoe,39.2,14.8,184.3,3861.2,male
Adelie,Dream,36.6,18.8,197.9,4504.7,female
Adelie,Torgersen,35.7,18.5,181.4,3663.4,female
Chinstrap,Biscoe,48.4,18.3,190.6,3968.0,female
Adelie,Biscoe,36.8,17.9,194.9,4304.8,female
Gentoo,Torgersen,47.1,14.3,224.8,5564.7,male
Adelie,Torgersen,39.3,18.4,189.1,3190.9,male
Adelie,Biscoe,36.1,20.0,196.1,3261.7,male
Chinstrap,Dream,52.0,19.3,196.1,4393.4,male
Adelie,Dream,37.8,16.5,194.7,3334.9,female
Gentoo,Dream,50.4,16.3,223.5,4084.8,female
Gentoo,Torgersen,41.3,13.8,216.0,5230.6,male
Chinstrap,Biscoe,45.3,17.9,194.4,3726.2,male
Adelie,Biscoe,40.3,18.9,171.2,3275.0,female
Adelie,Biscoe,38.6,20.3,184.2,3276.9,female
Gentoo,Biscoe,51.8,16.5,216.5,4851.2,male
Chinstrap,Biscoe,44.6,17.0,199.1,3912.3,male
Gentoo,Biscoe,48.1,14.5,205.1,4633.9,female
Adelie,Biscoe,37.6,16.5,188.3,3618.3,male
Chinstrap,Torgersen,44.3,19.3,192.7,2810.3,male
Chinstrap,Dream,49.6,17.7,176.0,3612.9,male
Adelie,Dream,38.8,17.8,194.0,3903.9,male
Chinstrap,Dream,48.4,18.0,209.5,4765.6,female
Gentoo,Torgersen,49.3,12.7,218.6,4912.3,female
Gentoo,Biscoe,50.6,14.2,207.0,4346.4,male
Gentoo,Dream,47.0,16.5,199.0,5496.7,female
Adelie,Torgersen,38.0,18.6,208.8,4167.9,male
Chinstrap,Biscoe,45.4,18.3,198.5,3956.6,female
Chinstrap,Dream,46.9,17.6,194.8,2932.0,male
Chinstrap,Torgersen,47.8,17.3,193.8,3211.4,female
Chinstrap,Torgersen,46.5,18.2,196.3,4103.5,male
Gentoo,Biscoe,50.0,14.8,221.2,4863.6,male
Chinstrap,Biscoe,46.5,18.1,202.7,3717.2,male
Adelie,Dream,36.8,17.3,184.7,3195.4,female
Chinstrap,Dream,40.0,17.5,187.8,2702.7,female
Chinstrap,Torgersen,50.3,18.6,191.1,3492.0,male
Adelie,Dream,38.5,19.7,181.6,3124.6,male
Adelie,Torgersen,35.8,18.8,196.0,4038.6,female
Adelie,Dream,40.4,17.2,187.2,3532.4,male
Gentoo,Torgersen,46.3,16.1,211.1,5487.6,male
Chinstrap,Dream,54.0,18.1,203.8,3718.4,male
Adelie,Dream,40.0,16.8,185.8,3953.6,male
Chinstrap,Biscoe,51.0,17.8,180.3,4239.9,female
Adelie,Dream,38.7,20.6,186.9,4289.9,female
Gentoo,Dream,43.4,14.8,213.9,4543.8,male
Adelie,Dream,38.6,18.1,195.3,3850.1,male
Chinstrap,Dream,44.9,15.8,198.9,4016.2,male
Chinstrap,Torgersen,45.1,18.6,203.3,3738.8,male
Gentoo,Torgersen,48.3,15.9,231.8,4873.6,female
Adelie,Torgersen,37.6,17.2,179.6,4674.7,female
Chinstrap,Dream,43.5,17.7,200.4,4770.5,female
